,price,WMA_100
count,771562.0,771463.0
mean,6336.017983000718,6306.69306737552
std,131.05168585423087,27.80941691344805
min,6141.5,6268.995166075445
25%,6237.0,6283.6905883040345
50%,6304.0,6309.926905721963
75%,6370.5,6320.3598189579525
max,6723.5,6430.609814474384
