timestamp_CET,open,high,low,close
2020-04-01 02:00:00+02:00,6425.5,6438.0,6340.0,6371.5
2020-04-01 02:15:00+02:00,6360.5,6371.5,6265.0,6270.5
2020-04-01 02:30:00+02:00,6270.0,6303.5,6250.0,6286.0
2020-04-01 02:45:00+02:00,6286.0,6322.0,6272.0,6303.0
2020-04-01 03:00:00+02:00,6303.0,6319.5,6289.0,6289.5
2020-04-01 03:15:00+02:00,6289.5,6311.0,6289.0,6301.0
2020-04-01 03:30:00+02:00,6301.0,6303.0,6290.5,6292.5
2020-04-01 03:45:00+02:00,6292.5,6301.5,6288.0,6291.0
2020-04-01 04:00:00+02:00,6291.5,6309.0,6289.5,6307.0
2020-04-01 04:15:00+02:00,6307.5,6321.0,6307.0,6315.5
2020-04-01 04:30:00+02:00,6315.5,6315.5,6307.0,6311.0
2020-04-01 04:45:00+02:00,6310.5,6317.0,6310.0,6317.0
2020-04-01 05:00:00+02:00,6317.0,6363.5,6316.0,6359.0
2020-04-01 05:15:00+02:00,6359.0,6364.0,6349.0,6361.5
2020-04-01 05:30:00+02:00,6362.0,6362.0,6347.0,6358.0
2020-04-01 05:45:00+02:00,6358.0,6383.0,6353.0,6372.0
2020-04-01 06:00:00+02:00,6372.5,6378.5,6346.5,6361.5
2020-04-01 06:15:00+02:00,6361.5,6363.5,6354.5,6360.0
2020-04-01 06:30:00+02:00,6360.5,6360.5,6334.5,6341.5
2020-04-01 06:45:00+02:00,6341.5,6345.0,6339.5,6344.5
2020-04-01 07:00:00+02:00,6344.5,6345.0,6312.0,6324.5
2020-04-01 07:15:00+02:00,6324.5,6331.0,6317.0,6331.0
2020-04-01 07:30:00+02:00,6331.0,6331.0,6305.0,6309.5
2020-04-01 07:45:00+02:00,6310.0,6317.5,6289.0,6302.0
2020-04-01 08:00:00+02:00,6302.5,6311.5,6280.5,6289.0
2020-04-01 08:15:00+02:00,6289.5,6303.5,6264.0,6300.0
2020-04-01 08:30:00+02:00,6300.5,6322.0,6294.0,6322.0
2020-04-01 08:45:00+02:00,6321.5,6322.0,6295.0,6300.5
2020-04-01 09:00:00+02:00,6300.5,6317.5,6287.0,6314.5
2020-04-01 09:15:00+02:00,6314.5,6329.0,6308.0,6325.5
2020-04-01 09:30:00+02:00,6325.5,6337.0,6321.5,6330.5
2020-04-01 09:45:00+02:00,6331.0,6331.0,6317.5,6331.0
2020-04-01 10:00:00+02:00,6331.0,6331.0,6299.5,6310.5
2020-04-01 10:15:00+02:00,6310.0,6314.0,6291.5,6299.0
2020-04-01 10:30:00+02:00,6299.0,6313.5,6285.5,6308.0
2020-04-01 10:45:00+02:00,6308.5,6311.5,6300.5,6311.0
2020-04-01 11:00:00+02:00,6311.5,6311.5,6283.5,6284.0
2020-04-01 11:15:00+02:00,6284.5,6308.5,6283.0,6302.5
2020-04-01 11:30:00+02:00,6302.5,6303.0,6273.5,6275.5
2020-04-01 11:45:00+02:00,6275.5,6313.5,6265.5,6302.5
2020-04-01 12:00:00+02:00,6302.5,6308.0,6290.0,6297.0
