,15min_close_price_median,wma_15min,wma_100,close_price
count,96.0,771562.0,771463.0,771562.0
mean,6303.471354166667,6307.610694488177,6306.693067375519,6336.017983000718
std,97.48662438476573,31.235617192524714,27.809416913448054,131.05168585423087
min,6171.5,6269.069807171504,6268.995166075445,6141.5
25%,6231.875,6283.925263682989,6283.6905883040345,6237.0
50%,6299.25,6310.632889201272,6309.926905721963,6304.0
75%,6325.25,6320.379366921245,6320.3598189579525,6370.5
max,6672.5,6428.376892636436,6430.609814474384,6723.5
