,ETH/USD,BTC/USD
count,8713.0,8713.0
mean,0.0002914375860100683,0.00020068874616600886
std,0.011848905994774898,0.009197485544215633
min,-0.14910186239576828,-0.12097003541973683
25%,-0.004822903001774792,-0.0036317853856956406
50%,0.00036292850308483615,0.00015527414512961357
75%,0.0055893074119077735,0.004237154150197542
max,0.08249870488689348,0.12422629363703885
